Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
12/23/23,GAS SALE            REGO PARK           NY,14.15,"00558841    GAS STATION
GAS SALE
REGO PARK
NY
Description : GAS SALE Price : 0.00
GAS STATION",GAS SALE            REGO PARK           NY,6827 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20234E+17,Transportation-Fuel
12/21/23,AplPay DD/BR #304484FLUSHING            NY,24.57,"23211243165 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20234E+17,Restaurant-Bar & Café
12/19/23,I & A DISCOUNT AUT  FOREST HILLS        NY,30.77,"543473      AUTO PARTS/ACCESSORY
I & A DISCOUNT AUT
FOREST HILLS
NY
AUTO PARTS/ACCESSORY",I & A DISCOUNT AUT  FOREST HILLS        NY,9920 METROPOLITAN AVE,"FOREST HILLS
NY",11375,UNITED STATES,3.20234E+17,Transportation-Auto Services
12/15/23,AplPay DD/BR #304484FLUSHING            NY,4.24,"23151406505 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20234E+17,Restaurant-Bar & Café
12/15/23,AplPay DD/BR #304484FLUSHING            NY,9.47,"23152037295 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20234E+17,Restaurant-Bar & Café
12/13/23,Interest Charge on Pay Over Time Purchases,102.15,"Interest Charge on Pay Over Time Purchases
",Interest Charge on Pay Over Time Purchases,,,,,1.31214E+17,Fees & Adjustments-Fees & Adjustments
12/10/23,AplPay DD/BR #304484FLUSHING            NY,8.51,"23101430075 718-478-5407
AplPay DD/BR #304484 Q35 3044
FLUSHING
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-478-5407",AplPay DD/BR #304484FLUSHING            NY,6365 WOODHAVEN BLVD,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
12/10/23,AplPay THE BAGEL SPOFOREST HILLS        NY,19.81,"73011553344 THEBAGELSPOT101@GMSIL
THEBAGELSPOT101@GMSIL.COM
AplPay THE BAGEL SPOT 055630000165092
FOREST HILLS
NY
THEBAGELSPOT101@GMSIL.COM",AplPay THE BAGEL SPOFOREST HILLS        NY,101-01 QUEENS BLVD,"FOREST HILLS
NY",11375,UNITED STATES,3.20233E+17,Restaurant-Restaurant
12/10/23,AplPay TRADER JOE S REGO PARK           NY,24.53,"000164122436265993700
AplPay TRADER JOE S #557 000000557
REGO PARK
NY
6265993700",AplPay TRADER JOE S REGO PARK           NY,9030 METROPOLITAN AVE,"REGO PARK
NY",11374,UNITED STATES,3.20233E+17,Merchandise & Supplies-Groceries
12/9/23,AplPay DUNKIN #33045FOREST HILLS        NY,9.91,"23091346545 718-793-5785
AplPay DUNKIN #330459 Q35 3304
FOREST HILLS
NY
Description : FAST FOOD RESTAURAN Price : 0.00
718-793-5785",AplPay DUNKIN #33045FOREST HILLS        NY,9712 METROPOLITAN AVE,"FOREST HILLS
NY",11375-6626,UNITED STATES,3.20233E+17,Restaurant-Bar & Café
12/8/23,AplPay ANGIES MARKETFOREST HILLS        NY,29.34,"00001475    917-334-4100
AplPay ANGIES MARKET 3015
FOREST HILLS
NY
Description : GROCERIES/SUNDRIES Price : 0.00
917-334-4100",AplPay ANGIES MARKETFOREST HILLS        NY,10027 METROPOLITAN AVE,"FOREST HILLS
NY",11375,UNITED STATES,3.20233E+17,Merchandise & Supplies-Groceries
12/1/23,FS *CAPTURE ONE     877-327-8914        CA,20,"QXYRTFVMSXW3AC9610BA69D3D7E 93101
FS *CAPTURE ONE
877-327-8914
CA
3AC9610BA69D3D7E 93101",FS *CAPTURE ONE     877-327-8914        CA,801 GDN ST 201,"SANTA BARBARA
CA",93101,UNITED STATES,3.20233E+17,Merchandise & Supplies-Internet Purchase
11/29/23,AplPay WHOLEFDS BDN WESTMINSTER         CO,84.55,"0Y2TSQGWFN1 8777445300
AplPay WHOLEFDS BDN #10556 000010556
WESTMINSTER
CO
Description : GROCERY STORES Price : 0.8455
8777445300",AplPay WHOLEFDS BDN WESTMINSTER         CO,4451 MAIN ST,"WESTMINSTER
CO",80031,UNITED STATES,3.20233E+17,Merchandise & Supplies-Groceries
