Trans. date,Post date,Description,Amount,Category
1/8/23,1/8/23,DNH*GODADDY.COM 480-505-8855 AZDNH*GODADDY.COM,40.34,Services
1/14/23,1/14/23,DIRECTPAY MINIMUM PLUS PAYMENT,-90.8,Payments and Credits
1/17/23,1/17/23,INTERNET PAYMENT - THANK YOU,-40.34,Payments and Credits
7/13/23,7/13/23,AMAZON.COM*PI6XN5583 AMZN.COM/BILLWA79QLOW5G8XF,191.61,Merchandise
7/17/23,7/17/23,TST* PARCEROS BAKERY REGO PARK NYAPPLE PAY ENDING IN 879900011917012731377329AA,12.75,Restaurants
7/21/23,7/21/23,REGO MARKET PLACE REGO PARK NY,31.43,Supermarkets
7/21/23,7/21/23,THE HOME DEPOT #1220 GLENDALE NY,35.66,Home Improvement
7/22/23,7/22/23,TRADER JOE S #557 REGO PARK NY,12.27,Supermarkets
7/23/23,7/23/23,THE HOME DEPOT #1220 GLENDALE NY,115,Home Improvement
7/30/23,7/30/23,THE HOME DEPOT #1220 GLENDALE NY,53.31,Home Improvement
7/31/23,7/31/23,CVS/PHARMACY #02975 MIDDLE VILLAGNY,15.53,Merchandise
8/1/23,8/1/23,CVS/PHARMACY #02975 MIDDLE VILLAGNY,44.7,Merchandise
8/4/23,8/4/23,THE HOME DEPOT #1220 GLENDALE NY,15.26,Home Improvement
8/4/23,8/4/23,WENDY'S #3115 REGO PARK NY,27.37,Restaurants
8/5/23,8/5/23,GLEASON PAINTS WOODSIDE NY00502B,81.85,Home Improvement
8/5/23,8/5/23,THE HOME DEPOT #1220 GLENDALE NY,12.14,Home Improvement
8/5/23,8/5/23,THE HOME DEPOT #6120 MASPETH NY,92.54,Home Improvement
8/7/23,8/7/23,THE HOME DEPOT #6120 MASPETH NY,42.38,Home Improvement
8/11/23,8/11/23,JM DELI AND GROCERY GLENDALE NY,6.24,Supermarkets
8/11/23,8/11/23,LEONES PIZZERIA RIDGEWOOD NY,27.65,Restaurants
8/11/23,8/11/23,NEW REGO PARK 99 CENT MA REGO PARK NY,20.84,Merchandise
8/11/23,8/11/23,RITE AID 04866 REGO PARK NY,15,Merchandise
8/11/23,8/11/23,THE HOME DEPOT #1220 GLENDALE NY,188.6,Home Improvement
8/12/23,8/12/23,THE HOME DEPOT #6120 MASPETH NY,217.65,Home Improvement
8/13/23,8/13/23,ADAMS BAGELS & DELI REGO PARK NY,26.04,Merchandise
8/13/23,8/13/23,THE HOME DEPOT #6120 MASPETH NY,29.25,Home Improvement
