Date,Store Number,Transaction ID,Register Number,Job Name,SKU Number,SKU Description,Quantity,Unit price,Department Name,Class Name,Subclass Name,Program Discount Amount,Program Discount Indicator,Other Discount Amount,Extended Retail (before discount),Net Unit Price,Internet SKU,Purchaser
12/31/23,1220,13352,51,rego,217597,SPRAY PAINTS,1,$8.48 ,PAINT,SPRAY PAINT,SPECIALTY SPRAYS,$0.00 ,,$0.00 ,$8.48 ,$8.48 ,0,
12/31/23,1220,13352,51,rego,138142,GREAT STUFF GAPS & CRACKS 12OZ,1,$4.38 ,BLDG. MATERIALS,INSULATION,FOAM,$0.00 ,,($3.00),$1.38 ,$1.38 ,202893728,
12/31/23,1220,13352,51,rego,138142,GREAT STUFF GAPS & CRACKS 12OZ,1,$4.38 ,BLDG. MATERIALS,INSULATION,FOAM,$0.00 ,,($3.00),$1.38 ,$1.38 ,202893728,
12/31/23,1220,13352,51,rego,1002419404,"ROCK-ON SCREW 9X1-1/4"" 185PK",1,$12.58 ,HARDWARE,FASTENERS,DRYWALL SCREWS,$0.00 ,,$0.00 ,$12.58 ,$12.58 ,300662298,
12/31/23,1220,13352,51,rego,138142,GREAT STUFF GAPS & CRACKS 12OZ,1,$4.38 ,BLDG. MATERIALS,INSULATION,FOAM,$0.00 ,,($3.00),$1.38 ,$1.38 ,202893728,
12/31/23,1220,13352,51,rego,138142,GREAT STUFF GAPS & CRACKS 12OZ,1,$4.38 ,BLDG. MATERIALS,INSULATION,FOAM,$0.00 ,,($3.00),$1.38 ,$1.38 ,202893728,
12/31/23,1220,13352,51,rego,619851,2X BRRYPNK,1,$6.48 ,PAINT,SPRAY PAINT,GENERAL PURPOSE,$0.00 ,,$0.00 ,$6.48 ,$6.48 ,0,
12/31/23,1220,13352,51,rego,138142,GREAT STUFF GAPS & CRACKS 12OZ,1,$4.38 ,BLDG. MATERIALS,INSULATION,FOAM,$0.00 ,,($3.00),$1.38 ,$1.38 ,202893728,
12/31/23,1220,13352,51,rego,180869,3X5 HARDIBCK,1,$14.98 ,WALL&FLOOR COVER.,FLOORING TOOLS & MATERIA,BACKERBOARD,$0.00 ,,$0.00 ,$14.98 ,$14.98 ,0,
12/31/23,1220,13352,51,rego,619851,2X BRRYPNK,1,$6.48 ,PAINT,SPRAY PAINT,GENERAL PURPOSE,$0.00 ,,$0.00 ,$6.48 ,$6.48 ,0,
